,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
0,The Shawshank Redemption,(1994),142 min,9.3,81        ,"2,636,968",$28.34M,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
1,The Godfather,(1972),175 min,9.2,100        ,"1,827,672",$134.97M,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.
2,Rocketry: The Nambi Effect,(2022),157 min,9.0,****,"42,723",%^%^%^,"Based on the life of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994. Though free, he continues to fight for justice against the officials who falsely implicated him."
3,The Dark Knight,(2008),152 min,9.0,84        ,"2,608,299",$534.86M,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
4,The Lord of the Rings: The Return of the King,(2003),201 min,9.0,94        ,"1,811,516",$377.85M,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
5,Schindler's List,(1993),195 min,9.0,94        ,"1,337,301",$96.90M,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
6,The Godfather Part II,(1974),202 min,9.0,90        ,"1,253,340",$57.30M,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
7,12 Angry Men,(1957),96 min,9.0,96        ,"778,536",$4.36M,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
8,Jai Bhim,(2021),164 min,8.9,****,"197,243",#238,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice."
9,Pulp Fiction,(1994),154 min,8.9,94        ,"2,018,099",$107.93M,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
10,Inception,(2010),148 min,8.8,74        ,"2,312,309",$292.58M,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
11,The Lord of the Rings: The Two Towers,(2002),179 min,8.8,87        ,"1,635,885",$342.55M,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
12,Fight Club,(1999),139 min,8.8,66        ,"2,080,574",$37.03M,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
13,The Lord of the Rings: The Fellowship of the Ring,(2001),178 min,8.8,92        ,"1,834,504",$315.54M,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
14,Forrest Gump,(1994),142 min,8.8,82        ,"2,041,249",$330.25M,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart."
15,"Il buono, il brutto, il cattivo",(1966),161 min,8.8,90        ,"753,359",$6.10M,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
16,Soorarai Pottru,(2020),153 min,8.7,****,"114,019",%^%^%^,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way."
17,The Matrix,(1999),136 min,8.7,73        ,"1,887,091",$171.48M,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
18,Goodfellas,(1990),145 min,8.7,90        ,"1,142,435",$46.84M,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate."
19,The Empire Strikes Back,(1980),124 min,8.7,82        ,"1,274,924",$290.48M,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett."
20,One Flew Over the Cuckoo's Nest,(1975),133 min,8.7,84        ,"996,735",$112.00M,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse."
21,Interstellar,(2014),169 min,8.6,74        ,"1,779,287",$188.02M,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
22,Cidade de Deus,(2002),130 min,8.6,79        ,"749,872",$7.56M,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
23,Sen to Chihiro no kamikakushi,(2001),125 min,8.6,96        ,"749,057",$10.06M,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts."
24,Saving Private Ryan,(1998),169 min,8.6,91        ,"1,370,894",$216.54M,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
25,The Green Mile,(1999),189 min,8.6,61        ,"1,280,527",$136.80M,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
26,La vita è bella,(1997),116 min,8.6,59        ,"686,485",$57.60M,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp."
27,Se7en,(1995),127 min,8.6,65        ,"1,621,572",$100.13M,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
28,Terminator 2: Judgment Day,(1991),137 min,8.6,75        ,"1,084,951",$204.84M,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten-year-old son John from a more advanced and powerful cyborg."
29,The Silence of the Lambs,(1991),118 min,8.6,85        ,"1,409,377",$130.74M,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
30,Star Wars,(1977),121 min,8.6,90        ,"1,347,629",$322.74M,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
31,Seppuku,(1962),133 min,8.6,85        ,"56,027",#46,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
32,Shichinin no samurai,(1954),207 min,8.6,98        ,"343,327",$0.27M,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him. As the samurai teach the peasants how to defend themselves, the village is attacked by an army of bandits."
33,It's a Wonderful Life,(1946),130 min,8.6,89        ,"450,996",#21,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
34,Kaithi,(2019),145 min,8.5,****,"29,488",%^%^%^,"Dilli, an ex-convict, endeavours to meet his daughter for the first time after leaving prison. However, his attempts are interrupted due to a drug raid planned by Inspector Bejoy."
35,Asuran,(2019),141 min,8.5,****,"28,364",%^%^%^,"The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. Will the farmer, a loving father and a pacifist by heart, be able to save his hot-blooded son is the rest of the story."
36,96,(II) (2018),158 min,8.5,****,"30,220",%^%^%^,Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.
37,Gisaengchung,(2019),132 min,8.5,96        ,"773,610",$53.37M,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
38,Whiplash,(2014),106 min,8.5,88        ,"836,147",$13.09M,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
